# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.139059304703	0	0	0	0	0	0.0
0.00093336264169	0.141104294479	1	0	0	0	0	0.0
0.00344103815954	0.139059304703	2	0	0	0	0	0.0
0.00641178898137	0.141104294479	3	0	0	0	0	0.0
0.00669962621865	0.143149284254	4	0	0	0	0	0.0
0.00704537309496	0.145194274029	5	0	0	0	0	0.0
0.0079064460388	0.147239263804	6	0	0	0	0	0.0
0.00866017605216	0.149284253579	7	0	0	0	0	0.0
0.0203636780423	0.151329243354	8	0	0	0	0	0.0
0.021944354134	0.153374233129	9	0	0	0	0	0.0
0.0323069120354	0.151329243354	10	0	0	0	0	0.0
0.0338460274778	0.153374233129	11	0	0	0	0	0.0
0.0442906919767	0.151329243354	12	0	0	0	0	0.0
0.0467397542229	0.153374233129	13	0	0	0	0	0.0
0.0468484677969	0.151329243354	14	0	0	0	0	0.0
0.0475477485135	0.153374233129	15	0	0	0	0	0.0
0.0574462429994	0.155419222904	16	0	0	0	0	0.0
