# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.081799591002	0	0	0	0	0	0.0
0.000219739167199	0.0838445807771	1	0	0	0	0	0.0
0.000793552260322	0.0838445807771	1	1	1	0	0	0.0
0.00263075223964	0.081799591002	2	1	1	0	0	0.0
0.00310822856077	0.0838445807771	3	1	1	0	0	0.0
0.00403216544037	0.0858895705521	4	1	1	0	0	0.0
0.00418056429329	0.0858895705521	4	2	1	0	0	0.0
0.00546883708375	0.0858895705521	4	3	1	0	0	0.0
0.00706079274821	0.0838445807771	4	4	1	0	1	0.2
0.00792455560496	0.0838445807771	4	5	1	0	1	0.2
0.0104140388964	0.0838445807771	4	6	1	0	1	0.2
0.0106871965139	0.0838445807771	4	7	1	0	1	0.2
0.0122385260139	0.0838445807771	4	8	1	0	1	0.2
0.0129768286992	0.0838445807771	4	9	1	0	1	0.2
0.0136907933928	0.081799591002	5	9	1	0	1	0.166666666667
0.0138409260405	0.081799591002	5	10	1	0	1	0.166666666667
0.0160332167008	0.081799591002	5	11	1	0	1	0.166666666667
0.016445788369	0.0838445807771	6	11	1	0	1	0.142857142857
0.0172190458611	0.0838445807771	6	12	1	0	1	0.142857142857
0.0185075569305	0.0858895705521	7	12	1	0	1	0.125
0.0186025296588	0.0858895705521	7	13	1	0	1	0.125
0.0186257726974	0.0858895705521	7	14	1	0	1	0.125
0.0199243667834	0.0858895705521	7	15	1	0	1	0.125
0.0205323887285	0.0858895705521	7	16	1	0	1	0.125
0.0220446043962	0.0879345603272	8	16	1	0	1	0.111111111111
0.0225873047673	0.0879345603272	8	17	1	0	1	0.111111111111
0.0245855633211	0.0879345603272	8	18	1	0	1	0.111111111111
0.0250769453405	0.0879345603272	8	19	1	0	1	0.111111111111
0.0254603705388	0.0879345603272	8	20	1	0	1	0.111111111111
