# geo_500.0_sim_0 geo_500.0_sim_1 geo_500.0_sim_2 geo_500.0_sim_3 geo_500.0_sim_4 geo_500.0_sim_5 geo_500.0_sim_6 geo_500.0_sim_7 geo_500.0_sim_8 geo_500.0_sim_9 geo_500.0_sim_10 geo_500.0_sim_11 geo_500.0_sim_12 geo_500.0_sim_13 geo_500.0_sim_14 geo_500.0_sim_15 geo_500.0_sim_16 geo_500.0_sim_17 geo_500.0_sim_18 geo_500.0_sim_19 geo_500.0_sim_20 geo_500.0_sim_21 geo_500.0_sim_22 geo_500.0_sim_23 geo_500.0_sim_24 geo_500.0_sim_25 geo_500.0_sim_26 geo_500.0_sim_27 geo_500.0_sim_28 geo_500.0_sim_29 geo_500.0_sim_30 geo_500.0_sim_31 geo_500.0_sim_32 geo_500.0_sim_33 geo_500.0_sim_34 geo_500.0_sim_35 geo_500.0_sim_36 geo_500.0_sim_37 geo_500.0_sim_38 geo_500.0_sim_39 geo_500.0_sim_40 geo_500.0_sim_41 geo_500.0_sim_42 geo_500.0_sim_43 geo_500.0_sim_44 geo_500.0_sim_45 geo_500.0_sim_46 geo_500.0_sim_47 geo_500.0_sim_48 geo_500.0_sim_49 geo_500.0_sim_50 geo_500.0_sim_51 geo_500.0_sim_52 geo_500.0_sim_53 geo_500.0_sim_54 geo_500.0_sim_55 geo_500.0_sim_56 geo_500.0_sim_57 geo_500.0_sim_58 geo_500.0_sim_59 geo_500.0_sim_60 geo_500.0_sim_61 geo_500.0_sim_62 geo_500.0_sim_63 geo_500.0_sim_64 geo_500.0_sim_65 geo_500.0_sim_66 geo_500.0_sim_67 geo_500.0_sim_68 geo_500.0_sim_69 geo_500.0_sim_70 geo_500.0_sim_71 geo_500.0_sim_72 geo_500.0_sim_73 geo_500.0_sim_74 geo_500.0_sim_75 geo_500.0_sim_76 geo_500.0_sim_77 geo_500.0_sim_78 geo_500.0_sim_79 geo_500.0_sim_80 geo_500.0_sim_81 geo_500.0_sim_82 geo_500.0_sim_83 geo_500.0_sim_84 geo_500.0_sim_85 geo_500.0_sim_86 geo_500.0_sim_87 geo_500.0_sim_88 geo_500.0_sim_89 geo_500.0_sim_90 geo_500.0_sim_91 geo_500.0_sim_92 geo_500.0_sim_93 geo_500.0_sim_94 geo_500.0_sim_95 geo_500.0_sim_96 geo_500.0_sim_97 geo_500.0_sim_98 geo_500.0_sim_99
-1.806578205000000025e+03 -1.835536693000000014e+03 -1.954258125999999947e+03 -1.775065818999999919e+03 -2.131195138000000043e+03 -1.975019757000000027e+03 -2.349466309999999794e+03 -2.282003569999999854e+03 -2.151809977999999774e+03 -2.124073656000000028e+03 -1.961605917999999974e+03 -1.933463027999999895e+03 -2.102894483999999920e+03 -2.085228821000000153e+03 -2.044914569999999912e+03 -1.878001050999999961e+03 -2.209013836000000083e+03 -2.153405984999999873e+03 -1.892850335999999970e+03 -2.112818037999999888e+03 -1.869656801000000087e+03 -2.123359004999999797e+03 -1.972635567000000037e+03 -2.191233659999999873e+03 -2.312280415000000175e+03 -2.040895737999999938e+03 -2.167108871999999792e+03 -2.141285710000000108e+03 -1.950649955999999975e+03 -1.931138392999999951e+03 -2.110752376999999797e+03 -1.927192999000000100e+03 -2.389862516000000142e+03 -1.984593241000000035e+03 -2.022155557999999928e+03 -1.797050365999999940e+03 -1.896797810000000027e+03 -1.942952461999999969e+03 -2.303340752000000066e+03 -2.023101314000000002e+03 -2.038933616000000029e+03 -1.923926852000000054e+03 -2.397308841999999913e+03 -1.849202970000000050e+03 -2.111538250999999946e+03 -1.907847172000000000e+03 -2.005820116999999982e+03 -1.870736893000000009e+03 -1.991777242999999999e+03 -1.934729796999999962e+03 -2.115461874999999964e+03 -2.235151876999999786e+03 -2.236690720000000056e+03 -2.097662162000000080e+03 -2.091491880000000037e+03 -1.998456633000000011e+03 -2.057562111000000186e+03 -1.906154027999999926e+03 -1.930752930000000106e+03 -2.135153534000000036e+03 -1.917851241999999957e+03 -1.856917159000000083e+03 -2.115388406000000032e+03 -2.092138939999999820e+03 -2.234734930999999960e+03 -1.935213972000000012e+03 -2.078396245999999792e+03 -1.964238501999999926e+03 -1.943553807999999890e+03 -2.114654344999999921e+03 -1.811541392999999971e+03 -2.176278181000000131e+03 -1.979875297999999930e+03 -2.247934104999999818e+03 -1.945020236000000068e+03 -2.185261577000000216e+03 -2.154065848000000187e+03 -1.976552478999999948e+03 -1.890777874000000111e+03 -1.993597154999999930e+03 -2.078182345000000169e+03 -1.845670180999999957e+03 -1.939060148000000027e+03 -2.136901316999999835e+03 -1.813212234999999964e+03 -2.016983840000000100e+03 -2.034352654999999913e+03 -2.079336052999999993e+03 -1.994694657999999890e+03 -1.944800293000000011e+03 -2.122482074000000011e+03 -2.163393844000000172e+03 -2.030401622000000089e+03 -2.227645065000000159e+03 -1.928464672000000064e+03 -1.930036374999999907e+03 -1.960564636999999948e+03 -2.020352157999999918e+03 -2.361908527999999933e+03 -1.981166060999999900e+03
1.112382999999999988e+01 8.022999999999999687e+00 9.562300000000000466e+00 7.266910000000000203e+00 8.183690000000000353e+00 7.559120000000000061e+00 8.461040000000000560e+00 9.688140000000000640e+00 9.208959999999999368e+00 8.326349999999999696e+00 5.718740000000000379e+00 1.021846999999999994e+01 9.382440000000000779e+00 9.068250000000000810e+00 9.833000000000000185e+00 7.106530000000000236e+00 8.514469999999999317e+00 8.298040000000000305e+00 7.071410000000000196e+00 9.635339999999999350e+00 1.103894999999999982e+01 9.503159999999999386e+00 7.974239999999999995e+00 8.639939999999999287e+00 1.022202000000000055e+01 8.226440000000000197e+00 7.675589999999999691e+00 7.977520000000000167e+00 7.164259999999999629e+00 9.765489999999999782e+00 1.034071999999999925e+01 8.723530000000000229e+00 7.652330000000000076e+00 8.766970000000000596e+00 7.923899999999999721e+00 1.078631999999999991e+01 7.759389999999999787e+00 8.636760000000000659e+00 7.976449999999999818e+00 7.775900000000000034e+00 9.278679999999999595e+00 7.133280000000000065e+00 6.666019999999999612e+00 1.021588000000000029e+01 6.259310000000000151e+00 1.202854999999999919e+01 6.314009999999999678e+00 1.193552999999999997e+01 7.711730000000000196e+00 7.898329999999999629e+00 8.492720000000000269e+00 7.730240000000000222e+00 7.338530000000000442e+00 7.727619999999999933e+00 7.610640000000000072e+00 6.566589999999999705e+00 1.018562000000000012e+01 8.625130000000000408e+00 9.137050000000000338e+00 6.294719999999999871e+00 7.380309999999999704e+00 7.634789999999999743e+00 7.910829999999999806e+00 7.574690000000000367e+00 7.893089999999999939e+00 6.253790000000000404e+00 6.904279999999999973e+00 7.940400000000000347e+00 7.551319999999999588e+00 7.216949999999999754e+00 8.390530000000000044e+00 7.024630000000000152e+00 9.183980000000000032e+00 6.198970000000000091e+00 7.972999999999999865e+00 8.311059999999999448e+00 1.020606000000000080e+01 8.771599999999999397e+00 8.717029999999999390e+00 8.215199999999999392e+00 8.579510000000000858e+00 9.765390000000000015e+00 6.261260000000000048e+00 8.197630000000000194e+00 9.200070000000000192e+00 7.444259999999999877e+00 7.916940000000000310e+00 7.421350000000000335e+00 8.295189999999999841e+00 8.301880000000000592e+00 9.447480000000000544e+00 9.224209999999999354e+00 8.881199999999999761e+00 8.272190000000000154e+00 8.362090000000000245e+00 7.919120000000000381e+00 6.952160000000000117e+00 6.367560000000000109e+00 7.016359999999999708e+00 9.852410000000000778e+00
8.529099999999999460e-01 9.735099999999999865e-01 1.364870000000000028e+00 1.275800000000000045e+00 1.021879999999999900e+00 9.189800000000000191e-01 1.025649999999999951e+00 9.838700000000000223e-01 9.356499999999999817e-01 1.095380000000000020e+00 1.030909999999999993e+00 1.036890000000000089e+00 1.187540000000000040e+00 1.066780000000000062e+00 9.341800000000000104e-01 9.170399999999999663e-01 1.140430000000000055e+00 8.096700000000000008e-01 8.187200000000000033e-01 1.135950000000000015e+00 9.348100000000000298e-01 9.086999999999999522e-01 8.452800000000000313e-01 9.818999999999999950e-01 1.011870000000000047e+00 1.061700000000000088e+00 1.197750000000000092e+00 9.854699999999999571e-01 6.962599999999999900e-01 9.790900000000000158e-01 1.087339999999999973e+00 8.558999999999999941e-01 8.315599999999999659e-01 9.111799999999999899e-01 8.685100000000000042e-01 1.046319999999999917e+00 8.149100000000000232e-01 8.495899999999999563e-01 1.010369999999999990e+00 1.062850000000000072e+00 9.810799999999999521e-01 6.538599999999999968e-01 8.522600000000000176e-01 1.029150000000000009e+00 9.925599999999999978e-01 1.109459999999999891e+00 9.319899999999999851e-01 9.859900000000000331e-01 1.111739999999999950e+00 8.391600000000000170e-01 1.244960000000000067e+00 9.347400000000000153e-01 1.480010000000000048e+00 7.889500000000000401e-01 7.849800000000000111e-01 1.058999999999999941e+00 1.011519999999999975e+00 1.292100000000000026e+00 9.475799999999999779e-01 9.470499999999999474e-01 1.128360000000000030e+00 1.260799999999999921e+00 1.037549999999999972e+00 1.268329999999999957e+00 1.017109999999999959e+00 1.181750000000000078e+00 7.630400000000000515e-01 9.281700000000000506e-01 1.169019999999999948e+00 9.448999999999999622e-01 1.697719999999999896e+00 8.677799999999999958e-01 7.629299999999999971e-01 9.277999999999999581e-01 1.186590000000000034e+00 8.268799999999999484e-01 6.870600000000000041e-01 1.130880000000000107e+00 9.233500000000000041e-01 1.065339999999999954e+00 8.349299999999999500e-01 1.012869999999999937e+00 9.814000000000000501e-01 9.792100000000000248e-01 9.986599999999999921e-01 1.126079999999999970e+00 7.925400000000000222e-01 1.025479999999999947e+00 1.032040000000000068e+00 1.020199999999999996e+00 1.099339999999999984e+00 1.344759999999999955e+00 9.083400000000000363e-01 1.102540000000000076e+00 9.658900000000000263e-01 1.190229999999999899e+00 8.261600000000000055e-01 9.631399999999999961e-01 1.104999999999999982e+00 1.085090000000000110e+00
2.347480000000000122e-01 1.172610000000000041e-01 2.156490000000000073e-01 1.503120000000000012e-01 2.656689999999999885e-01 2.687709999999999821e-01 2.380600000000000077e-02 2.514390000000000236e-01 3.999999999999999819e-06 2.566200000000000148e-01 1.928829999999999989e-01 2.211549999999999905e-01 1.907320000000000126e-01 1.931479999999999864e-01 2.211909999999999987e-01 1.100069999999999937e-01 1.361999999999999929e-03 2.957670000000000021e-01 2.396739999999999982e-01 2.852480000000000016e-01 2.841799999999999882e-01 2.247260000000000091e-01 2.566519999999999913e-01 1.897389999999999910e-01 1.830150000000000110e-01 2.155110000000000081e-01 2.565430000000000210e-01 1.555819999999999981e-01 2.252800000000000080e-01 3.999999999999999819e-06 2.300319999999999865e-01 2.456790000000000085e-01 6.066400000000000264e-02 3.608839999999999826e-01 1.987069999999999947e-01 1.691070000000000073e-01 8.791999999999999815e-02 1.418520000000000059e-01 2.436719999999999997e-01 2.212510000000000032e-01 1.574200000000000044e-01 2.381389999999999896e-01 2.233670000000000100e-01 2.469659999999999911e-01 2.269990000000000063e-01 1.480200000000000127e-01 1.716010000000000035e-01 2.236190000000000122e-01 2.344789999999999930e-01 2.796370000000000244e-01 2.355939999999999979e-01 1.203749999999999959e-01 2.281559999999999977e-01 2.341590000000000060e-01 2.282420000000000004e-01 2.434969999999999912e-01 1.440760000000000096e-01 1.872800000000000020e-01 3.317970000000000086e-01 2.257510000000000072e-01 1.752630000000000021e-01 1.682839999999999892e-01 1.838879999999999959e-01 1.228550000000000059e-01 1.518120000000000025e-01 2.407390000000000085e-01 1.778289999999999871e-01 2.188019999999999965e-01 2.478309999999999957e-01 2.069509999999999961e-01 1.432789999999999897e-01 2.109920000000000129e-01 2.584690000000000043e-01 2.193759999999999877e-01 2.297369999999999968e-01 2.291439999999999866e-01 2.184599999999999875e-01 1.866130000000000011e-01 1.830090000000000050e-01 1.648540000000000005e-01 2.431480000000000030e-01 1.397859999999999936e-01 2.585060000000000136e-01 1.812340000000000062e-01 3.779830000000000134e-01 1.018609999999999932e-01 2.297250000000000125e-01 1.759290000000000020e-01 1.587699999999999945e-01 1.654259999999999897e-01 2.875670000000000170e-01 2.095809999999999895e-01 3.245049999999999879e-01 2.326840000000000019e-01 2.285139999999999949e-01 1.919130000000000003e-01 2.394679999999999864e-01 3.424380000000000202e-01 2.640089999999999937e-01 2.341860000000000053e-01
1.011510000000000048e-01 1.936070000000000013e-01 1.689829999999999943e-01 9.329800000000000593e-02 1.443520000000000081e-01 1.447960000000000080e-01 2.552639999999999909e-01 1.795990000000000086e-01 4.308569999999999900e-01 1.890310000000000046e-01 1.879250000000000087e-01 2.092310000000000003e-01 1.920820000000000027e-01 1.925729999999999942e-01 2.234829999999999872e-01 1.793230000000000102e-01 2.337529999999999886e-01 1.736149999999999916e-01 1.816260000000000097e-01 1.103409999999999946e-01 1.138419999999999987e-01 2.711080000000000156e-01 2.064749999999999919e-01 1.863980000000000081e-01 1.548599999999999977e-01 2.494649999999999923e-01 1.623100000000000098e-01 2.641490000000000227e-01 1.326920000000000044e-01 4.085320000000000062e-01 1.640139999999999931e-01 1.935540000000000038e-01 1.708590000000000109e-01 3.265599999999999753e-02 1.451520000000000032e-01 1.647419999999999995e-01 2.642720000000000069e-01 1.805750000000000133e-01 1.968630000000000102e-01 2.282869999999999899e-01 2.150189999999999879e-01 1.069979999999999959e-01 2.445910000000000029e-01 1.971519999999999939e-01 1.269510000000000083e-01 3.058839999999999892e-01 1.923040000000000027e-01 1.494169999999999943e-01 2.039410000000000112e-01 1.901789999999999869e-01 1.721129999999999882e-01 2.040170000000000039e-01 1.398739999999999983e-01 2.050549999999999873e-01 2.433579999999999910e-01 2.032190000000000107e-01 1.824890000000000123e-01 2.039670000000000094e-01 1.222900000000000029e-02 1.419469999999999898e-01 1.770569999999999922e-01 1.506230000000000069e-01 1.825779999999999903e-01 2.724099999999999855e-01 1.506440000000000001e-01 1.154599999999999932e-01 1.638360000000000094e-01 1.122490000000000016e-01 1.538059999999999983e-01 2.322470000000000090e-01 1.180480000000000002e-01 1.863690000000000069e-01 1.805559999999999943e-01 2.055250000000000132e-01 1.411779999999999979e-01 9.092799999999999494e-02 1.518180000000000085e-01 1.817950000000000121e-01 1.900749999999999940e-01 1.572290000000000076e-01 1.796429999999999971e-01 1.934329999999999938e-01 1.660230000000000039e-01 1.883430000000000104e-01 6.104000000000000051e-03 1.835179999999999867e-01 1.690949999999999953e-01 1.871869999999999923e-01 1.817850000000000021e-01 1.868720000000000103e-01 2.110489999999999866e-01 1.227270000000000028e-01 1.243609999999999993e-01 1.685230000000000061e-01 1.641249999999999931e-01 1.973910000000000109e-01 2.270949999999999913e-01 1.506230000000000069e-01 1.627899999999999903e-01 1.723530000000000062e-01
1.789479999999999960e-01 2.885670000000000179e-01 2.591249999999999942e-01 2.096679999999999933e-01 2.796440000000000037e-01 2.546619999999999995e-01 2.547829999999999817e-01 2.487350000000000116e-01 3.242539999999999867e-01 2.245219999999999994e-01 2.155249999999999944e-01 2.224649999999999961e-01 2.638190000000000257e-01 2.287939999999999974e-01 2.260439999999999949e-01 1.944379999999999997e-01 2.860389999999999877e-01 2.370160000000000045e-01 2.300780000000000047e-01 2.093150000000000011e-01 2.590080000000000160e-01 3.089990000000000236e-01 2.862480000000000024e-01 1.495299999999999963e-01 3.316140000000000199e-01 2.006380000000000108e-01 2.677030000000000243e-01 2.561189999999999856e-01 3.358800000000000119e-01 4.419939999999999980e-01 2.299960000000000060e-01 2.420380000000000031e-01 2.837149999999999950e-01 3.204719999999999791e-01 2.792049999999999810e-01 2.140090000000000048e-01 2.832689999999999930e-01 2.124369999999999870e-01 2.062799999999999911e-01 2.465440000000000131e-01 1.758109999999999951e-01 2.234939999999999982e-01 1.927639999999999909e-01 2.238880000000000037e-01 2.225119999999999876e-01 3.419699999999999962e-01 2.075319999999999943e-01 2.077519999999999922e-01 1.912449999999999983e-01 2.155690000000000106e-01 2.550040000000000084e-01 2.913259999999999739e-01 2.051739999999999953e-01 2.162860000000000060e-01 1.880850000000000022e-01 3.010249999999999870e-01 2.083909999999999929e-01 2.855610000000000093e-01 4.837520000000000153e-01 2.322099999999999997e-01 1.977659999999999973e-01 2.269329999999999958e-01 1.794080000000000119e-01 2.691439999999999944e-01 2.252820000000000100e-01 2.378589999999999871e-01 2.413500000000000090e-01 1.742839999999999945e-01 2.025299999999999878e-01 2.440589999999999982e-01 2.290099999999999913e-01 2.501289999999999902e-01 2.537539999999999796e-01 2.612189999999999790e-01 2.311410000000000131e-01 2.686419999999999919e-01 2.511090000000000266e-01 2.750710000000000099e-01 2.313649999999999873e-01 2.130549999999999944e-01 2.411280000000000090e-01 1.790899999999999992e-01 2.183579999999999965e-01 2.081089999999999884e-01 3.442540000000000044e-01 1.705260000000000109e-01 2.632689999999999753e-01 2.806040000000000201e-01 3.515650000000000164e-01 2.276179999999999870e-01 1.955860000000000098e-01 2.421500000000000041e-01 3.663100000000000245e-01 2.248469999999999913e-01 1.748840000000000117e-01 1.772269999999999956e-01 1.942609999999999892e-01 2.083059999999999912e-01 2.115480000000000138e-01 2.416020000000000112e-01
5.029999999999999749e-04 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.425000000000000176e-03 3.999999999999999819e-06 3.999999999999999819e-06 4.443199999999999927e-02 3.999999999999999819e-06 3.999999999999999819e-06 1.322599999999999991e-02 2.564999999999999919e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.532999999999999766e-03 1.031400000000000025e-02 3.999999999999999819e-06 3.999999999999999819e-06 1.187099999999999961e-02 1.240300000000000083e-02 3.999999999999999819e-06 1.729000000000000068e-03 3.413999999999999934e-03 1.392200000000000035e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 2.864799999999999985e-02 2.229999999999999994e-04 3.999999999999999819e-06 5.884099999999999747e-02 3.999999999999999819e-06 1.082000000000000062e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.477000000000000139e-03 3.999999999999999819e-06 1.259099999999999976e-02 6.804000000000000152e-03 8.056999999999999926e-03 4.326200000000000184e-02 1.569999999999999944e-04 3.999999999999999819e-06 5.502599999999999852e-02 3.999999999999999819e-06 3.475299999999999917e-02 2.392000000000000029e-02 3.999999999999999819e-06 1.431999999999999940e-02 7.628000000000000232e-03 1.845600000000000018e-02 3.999999999999999819e-06 3.185400000000000037e-02 9.084000000000000061e-03 2.013000000000000032e-03 5.723999999999999921e-03 2.246400000000000133e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.583999999999999946e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.622200000000000031e-02 3.999999999999999819e-06 3.999999999999999819e-06 2.822099999999999956e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.846999999999999788e-03 1.879600000000000021e-02 2.088500000000000079e-02 4.125000000000000194e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 9.909999999999999105e-04 8.921000000000000110e-03 3.999999999999999819e-06 1.553299999999999993e-02 4.800000000000000122e-04 2.125000000000000153e-02 1.176100000000000062e-02 3.811099999999999904e-02 2.748000000000000095e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.738000000000000066e-03
2.098399999999999987e-01 1.219409999999999938e-01 2.261219999999999897e-01 1.984799999999999898e-01 1.980619999999999881e-01 1.951019999999999976e-01 2.375750000000000084e-01 1.405959999999999988e-01 3.999999999999999819e-06 2.094590000000000063e-01 2.169500000000000040e-01 2.031469999999999942e-01 2.081739999999999979e-01 3.999999999999999819e-06 1.603120000000000100e-01 1.645399999999999918e-01 1.863879999999999981e-01 2.178299999999999959e-01 2.510450000000000181e-01 2.450319999999999998e-01 2.795630000000000059e-01 6.821399999999999686e-02 2.329559999999999964e-01 2.233900000000000052e-01 2.378750000000000031e-01 1.767040000000000000e-01 1.857900000000000107e-01 2.245749999999999968e-01 1.177529999999999966e-01 7.383999999999999939e-03 2.262579999999999869e-01 3.058930000000000260e-01 1.847769999999999968e-01 3.988010000000000166e-01 2.301340000000000052e-01 2.251299999999999968e-01 9.031100000000000239e-02 1.599049999999999916e-01 5.667900000000000021e-02 1.624299999999999911e-01 2.094469999999999943e-01 2.526320000000000232e-01 1.813589999999999924e-01 2.165519999999999945e-01 2.646419999999999884e-01 1.365329999999999877e-01 1.685359999999999914e-01 2.110029999999999961e-01 2.019610000000000016e-01 2.787000000000000033e-01 2.114229999999999998e-01 1.031900000000000005e-02 2.122910000000000075e-01 2.034350000000000047e-01 2.112749999999999906e-01 2.247649999999999926e-01 1.231020000000000031e-01 1.426010000000000055e-01 3.373240000000000127e-01 2.173869999999999969e-01 1.978509999999999991e-01 1.356070000000000053e-01 2.906480000000000175e-01 1.522229999999999972e-01 1.973709999999999909e-01 2.236700000000000077e-01 3.999999999999999819e-06 3.053310000000000191e-01 1.868670000000000053e-01 1.718270000000000075e-01 1.246089999999999975e-01 2.276910000000000045e-01 2.335359999999999936e-01 2.525060000000000082e-01 2.715170000000000083e-01 2.278930000000000122e-01 2.318870000000000098e-01 1.850380000000000080e-01 2.010010000000000130e-01 2.245860000000000078e-01 2.349729999999999874e-01 2.029219999999999913e-01 2.453369999999999995e-01 2.111180000000000001e-01 3.860239999999999783e-01 1.699440000000000117e-01 1.986539999999999973e-01 2.831999999999999882e-03 1.667869999999999908e-01 2.362339999999999995e-01 2.529000000000000137e-01 2.013060000000000127e-01 2.383699999999999986e-01 2.402430000000000121e-01 1.718069999999999875e-01 1.895880000000000065e-01 1.783939999999999970e-01 2.282480000000000064e-01 2.689909999999999801e-01 2.872279999999999833e-01
1.274770000000000070e-01 1.595550000000000024e-01 1.873479999999999868e-01 8.688400000000000289e-02 2.048169999999999991e-01 1.412930000000000019e-01 2.150870000000000004e-01 1.604730000000000045e-01 4.417329999999999868e-01 1.648540000000000005e-01 1.651340000000000030e-01 1.863480000000000136e-01 2.612619999999999942e-01 2.230139999999999900e-01 1.475809999999999900e-01 1.567749999999999977e-01 2.057660000000000045e-01 1.601609999999999978e-01 1.674829999999999930e-01 1.456000000000000072e-01 1.281950000000000034e-01 2.818769999999999887e-01 1.794739999999999946e-01 1.703379999999999894e-01 1.408929999999999905e-01 1.488220000000000098e-01 1.423300000000000121e-01 1.670909999999999895e-01 1.637579999999999869e-01 3.728159999999999807e-01 2.008379999999999888e-01 1.257600000000000107e-01 1.823380000000000001e-01 2.360999999999999904e-02 1.591519999999999879e-01 1.526929999999999954e-01 2.673510000000000053e-01 2.600979999999999959e-01 1.983050000000000090e-01 1.459020000000000039e-01 2.528730000000000144e-01 1.193000000000000033e-01 1.892890000000000128e-01 1.650260000000000060e-01 9.645499999999999907e-02 1.652359999999999940e-01 1.974789999999999879e-01 1.280070000000000097e-01 1.430619999999999947e-01 1.359589999999999965e-01 1.755829999999999891e-01 1.855539999999999967e-01 1.730349999999999944e-01 2.161740000000000050e-01 1.641050000000000009e-01 2.268789999999999973e-01 2.597380000000000244e-01 1.618449999999999889e-01 1.476700000000000061e-02 1.142920000000000047e-01 1.943360000000000087e-01 2.213120000000000087e-01 1.127039999999999986e-01 2.591720000000000135e-01 1.595119999999999871e-01 1.619710000000000039e-01 2.407070000000000043e-01 1.169039999999999940e-01 1.074490000000000028e-01 1.697859999999999925e-01 1.309869999999999923e-01 1.575940000000000119e-01 2.155289999999999984e-01 1.893690000000000095e-01 1.210969999999999963e-01 1.920219999999999982e-01 1.428570000000000118e-01 1.931630000000000014e-01 1.640020000000000089e-01 2.199280000000000124e-01 1.839159999999999962e-01 1.372150000000000036e-01 1.584129999999999983e-01 1.923509999999999942e-01 3.999999999999999819e-06 1.774519999999999986e-01 1.686020000000000019e-01 1.670190000000000008e-01 2.004469999999999863e-01 1.915769999999999973e-01 2.406830000000000080e-01 1.350159999999999971e-01 9.499799999999999911e-02 1.710099999999999953e-01 2.003769999999999996e-01 1.708610000000000129e-01 1.478629999999999944e-01 1.491699999999999970e-01 1.243469999999999992e-01 1.492610000000000048e-01
2.423600000000000060e-02 1.238700000000000044e-02 3.316199999999999704e-02 2.600799999999999987e-02 5.546299999999999841e-02 1.837599999999999997e-02 3.104799999999999921e-02 4.268099999999999672e-02 5.034899999999999792e-02 1.847999999999999990e-02 1.109100000000000016e-02 2.438600000000000143e-02 5.940200000000000341e-02 2.555919999999999859e-01 3.818099999999999966e-02 3.881699999999999734e-02 4.738300000000000151e-02 4.619100000000000289e-02 1.258599999999999997e-02 1.936600000000000127e-02 1.943100000000000036e-02 1.731419999999999904e-01 3.128500000000000031e-02 1.665000000000000160e-02 3.391099999999999670e-02 2.556900000000000145e-02 4.348199999999999982e-02 1.738200000000000162e-02 3.489300000000000040e-02 3.759500000000000342e-02 5.818899999999999767e-02 9.861999999999999239e-03 1.172289999999999999e-01 1.805700000000000013e-02 1.998700000000000129e-02 2.526199999999999973e-02 2.837100000000000039e-02 1.284399999999999951e-02 2.537309999999999843e-01 4.563899999999999901e-02 5.806399999999999756e-02 5.164599999999999747e-02 3.324499999999999678e-02 1.982000000000000081e-02 4.338100000000000289e-02 1.732500000000000012e-02 3.638299999999999867e-02 4.073000000000000231e-03 5.049999999999999802e-03 1.137699999999999996e-02 2.505900000000000141e-02 1.966410000000000102e-01 4.509900000000000020e-02 3.199099999999999860e-02 3.751299999999999774e-02 1.241699999999999922e-02 8.355400000000000327e-02 1.200099999999999952e-02 6.052699999999999747e-02 2.300999999999999920e-02 5.159899999999999903e-02 1.319000000000000034e-02 3.999999999999999819e-06 3.175999999999999657e-02 3.612800000000000039e-02 5.849200000000000232e-02 2.831230000000000135e-01 1.343399999999999976e-02 3.861699999999999855e-02 3.689900000000000124e-02 4.454999999999999932e-02 2.550900000000000042e-02 4.423699999999999855e-02 3.705699999999999966e-02 1.244600000000000047e-02 2.121299999999999922e-02 4.961299999999999738e-02 4.606899999999999884e-02 2.945199999999999901e-02 1.240400000000000010e-02 1.336999999999999994e-02 2.399499999999999897e-02 3.576499999999999818e-02 1.217799999999999959e-02 1.822000000000000008e-02 2.620499999999999913e-02 2.098799999999999971e-02 1.730929999999999969e-01 2.199800000000000019e-02 2.989999999999999949e-02 4.303000000000000401e-03 2.009599999999999928e-02 1.862199999999999966e-02 4.708699999999999691e-02 1.269999999999999948e-02 3.370800000000000185e-02 3.251199999999999923e-02 3.151799999999999741e-02 4.166700000000000265e-02 2.587400000000000116e-02
