# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.0981595092025	0	0	0	0	0	0.0
0.00668699136538	0.100204498978	1	0	0	0	0	0.0
0.00732120117614	0.102249488753	2	0	0	0	0	0.0
0.0111835734505	0.104294478528	3	0	0	0	0	0.0
0.011498193037	0.104294478528	3	1	12	0	0	0.0
0.0192910332896	0.0961145194274	3	2	16	0	4	0.571428571429
0.0205577472298	0.0981595092025	4	2	16	0	4	0.5
0.0216732507292	0.0961145194274	5	2	16	0	4	0.444444444444
0.0233668787561	0.0981595092025	6	2	16	0	4	0.4
0.0236021327843	0.100204498978	7	2	16	0	4	0.363636363636
0.0265563435064	0.0961145194274	7	3	6	0	6	0.461538461538
0.0317287604994	0.0961145194274	7	4	5	0	6	0.461538461538
0.0329282351549	0.0961145194274	7	5	4	0	6	0.461538461538
0.0372537893939	0.0940695296524	7	6	10	0	7	0.5
0.0385816221826	0.0961145194274	8	6	10	0	7	0.466666666667
0.0424985624581	0.0981595092025	9	6	10	0	7	0.4375
0.0448477376554	0.100204498978	10	6	10	0	7	0.411764705882
0.0484623232408	0.102249488753	11	6	10	0	7	0.388888888889
0.0501867961954	0.104294478528	12	6	10	0	7	0.368421052632
0.0501989320447	0.106339468303	13	6	10	0	7	0.35
0.0504836732498	0.104294478528	13	7	12	0	8	0.380952380952
0.052160028752	0.106339468303	14	7	12	0	8	0.363636363636
0.05434200534	0.104294478528	14	8	15	0	9	0.391304347826
0.0569966990294	0.102249488753	15	8	15	0	9	0.375
0.0661998047712	0.104294478528	16	8	15	0	9	0.36
0.0670238157743	0.100204498978	16	9	6	0	11	0.407407407407
0.0690990318056	0.102249488753	17	9	6	0	11	0.392857142857
0.0759406325984	0.0879345603272	17	10	24	0	18	0.514285714286
0.0773508330475	0.0899795501022	18	10	24	0	18	0.5
0.0817351556985	0.0879345603272	19	10	24	0	18	0.486486486486
0.0842490001045	0.0899795501022	20	10	24	0	18	0.473684210526
