# geo_200.0_sim_0 geo_200.0_sim_1 geo_200.0_sim_2 geo_200.0_sim_3 geo_200.0_sim_4 geo_200.0_sim_5 geo_200.0_sim_6 geo_200.0_sim_7 geo_200.0_sim_8 geo_200.0_sim_9 geo_200.0_sim_10 geo_200.0_sim_11 geo_200.0_sim_12 geo_200.0_sim_13 geo_200.0_sim_14 geo_200.0_sim_15 geo_200.0_sim_16 geo_200.0_sim_17 geo_200.0_sim_18 geo_200.0_sim_19 geo_200.0_sim_20 geo_200.0_sim_21 geo_200.0_sim_22 geo_200.0_sim_23 geo_200.0_sim_24 geo_200.0_sim_25 geo_200.0_sim_26 geo_200.0_sim_27 geo_200.0_sim_28 geo_200.0_sim_29 geo_200.0_sim_30 geo_200.0_sim_31 geo_200.0_sim_32 geo_200.0_sim_33 geo_200.0_sim_34 geo_200.0_sim_35 geo_200.0_sim_36 geo_200.0_sim_37 geo_200.0_sim_38 geo_200.0_sim_39 geo_200.0_sim_40 geo_200.0_sim_41 geo_200.0_sim_42 geo_200.0_sim_43 geo_200.0_sim_44 geo_200.0_sim_45 geo_200.0_sim_46 geo_200.0_sim_47 geo_200.0_sim_48 geo_200.0_sim_49 geo_200.0_sim_50 geo_200.0_sim_51 geo_200.0_sim_52 geo_200.0_sim_53 geo_200.0_sim_54 geo_200.0_sim_55 geo_200.0_sim_56 geo_200.0_sim_57 geo_200.0_sim_58 geo_200.0_sim_59 geo_200.0_sim_60 geo_200.0_sim_61 geo_200.0_sim_62 geo_200.0_sim_63 geo_200.0_sim_64 geo_200.0_sim_65 geo_200.0_sim_66 geo_200.0_sim_67 geo_200.0_sim_68 geo_200.0_sim_69 geo_200.0_sim_70 geo_200.0_sim_71 geo_200.0_sim_72 geo_200.0_sim_73 geo_200.0_sim_74 geo_200.0_sim_75 geo_200.0_sim_76 geo_200.0_sim_77 geo_200.0_sim_78 geo_200.0_sim_79 geo_200.0_sim_80 geo_200.0_sim_81 geo_200.0_sim_82 geo_200.0_sim_83 geo_200.0_sim_84 geo_200.0_sim_85 geo_200.0_sim_86 geo_200.0_sim_87 geo_200.0_sim_88 geo_200.0_sim_89 geo_200.0_sim_90 geo_200.0_sim_91 geo_200.0_sim_92 geo_200.0_sim_93 geo_200.0_sim_94 geo_200.0_sim_95 geo_200.0_sim_96 geo_200.0_sim_97 geo_200.0_sim_98 geo_200.0_sim_99
-2.336828699000000142e+03 -2.271139983999999913e+03 -1.831022652000000107e+03 -1.915372341000000006e+03 -1.851742191999999932e+03 -2.064189862000000176e+03 -2.102547232999999778e+03 -2.085465991000000031e+03 -1.948775534999999991e+03 -2.148529789000000164e+03 -1.907030993999999964e+03 -1.966323791999999912e+03 -2.062329204000000118e+03 -2.009159552999999960e+03 -2.042110114000000067e+03 -1.903536605000000009e+03 -2.074818389999999908e+03 -1.912351139000000103e+03 -1.930109609000000091e+03 -2.188577094000000216e+03 -2.303348954999999933e+03 -2.021692675000000008e+03 -2.230217712000000120e+03 -2.110300212999999985e+03 -2.136081611000000066e+03 -2.059661266000000069e+03 -2.081809196000000156e+03 -2.206620673999999781e+03 -1.933569255999999996e+03 -2.148687266999999792e+03 -2.292940978000000086e+03 -1.846050835000000006e+03 -2.005318919999999935e+03 -2.048498790999999983e+03 -1.957831918999999971e+03 -2.169402227000000039e+03 -2.070282823000000008e+03 -2.035112752000000000e+03 -2.081645152999999937e+03 -2.065917088000000149e+03 -2.061282266000000163e+03 -1.972114769000000024e+03 -1.980900781000000052e+03 -2.010333444000000100e+03 -1.840244365999999900e+03 -2.208085981000000174e+03 -2.090227996999999959e+03 -1.996957828000000063e+03 -1.849778156999999965e+03 -2.242719360999999935e+03 -2.024061482999999953e+03 -2.421070884000000206e+03 -1.934066070999999965e+03 -1.949041525999999976e+03 -1.883382043999999951e+03 -2.093335285999999996e+03 -2.198627869999999803e+03 -2.200177532000000156e+03 -2.268005217999999786e+03 -1.896238076999999976e+03 -1.948180616000000100e+03 -2.243750125000000025e+03 -2.076156872000000021e+03 -2.087281966999999895e+03 -2.090990475000000060e+03 -1.908996433000000025e+03 -2.095456799999999930e+03 -2.111873181999999815e+03 -1.954817600999999968e+03 -2.051260437999999795e+03 -2.001970481000000063e+03 -2.043547303999999940e+03 -2.010449370999999928e+03 -1.967902704999999969e+03 -2.190469337999999880e+03 -2.045166036999999960e+03 -2.153403819000000112e+03 -2.251284735000000182e+03 -2.149809275000000071e+03 -2.150789271999999983e+03 -2.271709319000000050e+03 -2.201830432000000201e+03 -2.048525569999999789e+03 -2.207973982999999862e+03 -2.034390949999999975e+03 -1.945538301000000047e+03 -2.237592630999999983e+03 -2.090983988999999838e+03 -2.269781329999999798e+03 -2.175850934000000052e+03 -1.884646934999999985e+03 -1.990364450999999917e+03 -1.962299379999999928e+03 -2.324379093000000012e+03 -2.029089876999999888e+03 -2.077258846000000176e+03 -1.951259428000000071e+03 -2.152616532999999890e+03 -1.943761567000000014e+03 -1.927042507999999998e+03
1.084229000000000021e+01 6.240730000000000111e+00 1.205113000000000056e+01 8.164880000000000138e+00 6.921759999999999913e+00 7.349529999999999674e+00 8.796350000000000335e+00 8.859830000000000538e+00 1.037555000000000049e+01 7.750000000000000000e+00 9.013379999999999725e+00 1.118152000000000079e+01 9.691179999999999239e+00 8.460160000000000124e+00 8.823040000000000660e+00 8.636440000000000339e+00 7.790239999999999831e+00 9.062369999999999592e+00 6.769999999999999574e+00 9.824830000000000396e+00 7.232479999999999798e+00 8.466279999999999362e+00 6.553110000000000213e+00 5.678379999999999761e+00 1.065784000000000020e+01 1.722813000000000017e+01 6.237219999999999764e+00 8.508459999999999468e+00 8.171329999999999316e+00 1.285369000000000028e+01 7.751479999999999926e+00 7.071290000000000298e+00 8.853759999999999408e+00 8.533210000000000406e+00 6.219050000000000189e+00 7.135010000000000296e+00 8.292210000000000747e+00 9.587780000000000413e+00 5.780920000000000059e+00 9.118850000000000122e+00 7.883980000000000210e+00 1.029167999999999950e+01 8.839240000000000208e+00 8.453430000000000888e+00 9.729029999999999845e+00 1.066557000000000066e+01 6.318170000000000286e+00 5.817070000000000185e+00 6.665890000000000093e+00 7.579320000000000057e+00 7.452639999999999709e+00 6.244780000000000442e+00 6.730649999999999800e+00 7.159550000000000303e+00 7.786200000000000010e+00 5.943859999999999921e+00 5.860610000000000319e+00 1.036741999999999919e+01 7.659620000000000317e+00 8.485879999999999868e+00 7.083059999999999690e+00 7.744480000000000253e+00 9.842679999999999652e+00 8.239710000000000534e+00 7.740269999999999762e+00 1.060313000000000017e+01 7.473499999999999588e+00 6.474120000000000097e+00 9.362970000000000681e+00 9.402110000000000412e+00 8.487690000000000623e+00 9.394130000000000535e+00 6.621819999999999595e+00 8.647539999999999338e+00 8.324579999999999202e+00 7.496010000000000062e+00 9.112270000000000536e+00 8.134990000000000165e+00 7.823430000000000106e+00 6.951880000000000059e+00 9.539139999999999731e+00 5.723200000000000287e+00 9.000370000000000203e+00 7.584389999999999965e+00 8.716590000000000060e+00 8.108090000000000686e+00 8.933999999999999275e+00 7.891020000000000145e+00 9.697979999999999379e+00 7.762489999999999668e+00 1.221324000000000076e+01 9.470739999999999270e+00 8.343609999999999971e+00 1.063151000000000046e+01 1.037913999999999959e+01 8.697609999999999175e+00 8.583099999999999952e+00 9.929990000000000094e+00 6.859060000000000379e+00 7.872810000000000308e+00
1.076610000000000067e+00 1.143259999999999943e+00 8.671699999999999964e-01 1.207959999999999923e+00 1.109180000000000055e+00 1.089669999999999916e+00 1.298750000000000071e+00 8.406500000000000083e-01 1.146320000000000006e+00 1.040240000000000054e+00 1.002310000000000034e+00 9.320399999999999796e-01 1.030289999999999928e+00 1.062920000000000087e+00 9.402399999999999647e-01 9.669400000000000217e-01 1.343450000000000033e+00 1.018799999999999928e+00 9.723699999999999566e-01 7.085399999999999476e-01 9.219100000000000072e-01 7.994400000000000395e-01 7.048299999999999566e-01 1.052659999999999929e+00 9.992199999999999971e-01 1.163429999999999964e+00 8.746599999999999930e-01 1.112889999999999935e+00 1.178039999999999976e+00 1.299390000000000045e+00 1.044650000000000079e+00 1.271530000000000049e+00 9.263000000000000123e-01 1.019949999999999912e+00 8.614199999999999635e-01 1.057229999999999892e+00 8.383800000000000141e-01 1.009239999999999915e+00 1.138910000000000089e+00 8.425300000000000011e-01 1.110330000000000039e+00 1.138169999999999904e+00 1.010389999999999899e+00 1.033379999999999965e+00 1.286149999999999904e+00 1.104950000000000099e+00 7.522699999999999942e-01 1.352070000000000105e+00 1.037849999999999939e+00 1.081390000000000073e+00 8.552499999999999547e-01 1.229319999999999968e+00 9.351899999999999658e-01 8.206099999999999506e-01 1.416779999999999928e+00 1.152889999999999970e+00 1.064750000000000085e+00 9.180099999999999927e-01 8.214500000000000135e-01 8.087800000000000544e-01 1.009060000000000068e+00 1.294040000000000079e+00 8.510499999999999732e-01 1.077210000000000001e+00 8.329600000000000337e-01 9.548200000000000021e-01 9.005699999999999816e-01 9.440499999999999448e-01 8.708000000000000185e-01 9.113299999999999734e-01 1.020319999999999894e+00 9.179100000000000037e-01 1.016539999999999999e+00 9.242500000000000160e-01 9.918799999999999839e-01 9.576099999999999612e-01 8.082099999999999840e-01 9.077100000000000168e-01 1.007069999999999910e+00 1.121280000000000054e+00 7.435599999999999987e-01 9.966699999999999449e-01 1.115790000000000060e+00 8.849299999999999944e-01 1.092610000000000081e+00 9.745700000000000474e-01 1.059719999999999995e+00 1.018899999999999917e+00 1.027970000000000050e+00 1.182309999999999972e+00 8.691600000000000437e-01 9.079800000000000093e-01 6.830199999999999605e-01 8.363899999999999668e-01 8.288499999999999757e-01 8.614399999999999835e-01 1.090410000000000101e+00 8.383099999999999996e-01 9.808299999999999796e-01 8.694499999999999451e-01
2.594369999999999732e-01 2.269780000000000131e-01 1.350290000000000101e-01 2.296310000000000018e-01 1.660169999999999979e-01 2.077950000000000075e-01 2.551350000000000007e-01 2.445189999999999864e-01 2.327470000000000094e-01 2.693499999999999783e-01 2.340530000000000110e-01 2.846659999999999746e-01 2.895019999999999816e-01 1.310489999999999988e-01 2.601879999999999749e-01 2.324340000000000017e-01 2.141220000000000068e-01 2.070670000000000011e-01 2.060879999999999934e-01 2.393859999999999877e-01 2.462689999999999879e-01 2.551160000000000094e-01 1.745520000000000127e-01 2.396949999999999914e-01 5.008800000000000058e-02 3.200049999999999839e-01 2.949410000000000087e-01 1.760329999999999950e-01 2.136659999999999948e-01 1.914099999999999968e-01 2.433899999999999952e-01 1.464270000000000016e-01 2.547119999999999940e-01 1.842350000000000099e-01 1.973699999999999899e-01 2.686169999999999947e-01 1.836659999999999959e-01 2.029759999999999898e-01 1.322949999999999959e-01 2.264239999999999864e-01 1.360369999999999913e-01 1.635709999999999942e-01 2.826949999999999741e-01 8.119300000000000128e-02 1.762289999999999968e-01 2.722950000000000093e-01 1.939480000000000093e-01 1.577669999999999906e-01 1.675200000000000022e-01 1.768419999999999992e-01 1.625759999999999983e-01 2.938769999999999993e-01 1.945679999999999910e-01 1.940179999999999960e-01 2.056169999999999942e-01 2.277289999999999870e-01 2.286310000000000009e-01 2.311880000000000046e-01 1.676159999999999872e-01 2.319849999999999968e-01 1.987730000000000052e-01 2.490050000000000041e-01 1.464719999999999911e-01 2.116260000000000085e-01 2.353889999999999871e-01 8.351899999999999602e-02 2.829439999999999733e-01 2.186109999999999998e-01 1.686900000000000066e-01 4.267520000000000202e-01 2.093000000000000138e-01 1.782400000000000095e-01 1.686989999999999879e-01 1.950900000000000134e-01 2.545789999999999997e-01 1.994319999999999982e-01 2.932069999999999954e-01 1.988109999999999877e-01 1.471169999999999978e-01 1.289299999999999891e-01 2.966300000000000048e-01 1.557699999999999918e-01 2.286110000000000086e-01 1.575050000000000061e-01 7.309000000000000219e-02 2.162810000000000010e-01 1.639529999999999876e-01 1.663250000000000006e-01 1.259089999999999931e-01 2.729010000000000047e-01 1.842830000000000024e-01 2.184250000000000080e-01 6.296699999999999520e-02 2.053030000000000133e-01 1.921690000000000065e-01 2.535120000000000151e-01 2.276269999999999960e-01 2.448170000000000068e-01 1.895550000000000013e-01 1.875600000000000045e-01
2.241940000000000044e-01 2.023469999999999991e-01 1.724910000000000054e-01 6.175900000000000140e-02 1.764699999999999880e-01 2.215070000000000094e-01 1.185959999999999931e-01 1.105270000000000002e-01 2.241559999999999941e-01 1.263009999999999966e-01 1.799000000000000044e-01 2.004390000000000061e-01 2.242580000000000129e-01 2.144169999999999965e-01 1.380319999999999880e-01 1.090519999999999962e-01 1.946539999999999937e-01 1.309089999999999976e-01 1.583509999999999918e-01 2.052269999999999928e-01 2.512159999999999949e-01 2.096739999999999993e-01 2.059660000000000102e-01 1.387869999999999937e-01 2.101999999999999980e-01 9.578200000000000602e-02 1.809759999999999980e-01 1.845720000000000138e-01 1.468520000000000103e-01 1.968389999999999862e-01 1.469870000000000065e-01 1.984559999999999935e-01 1.675929999999999920e-01 1.753260000000000096e-01 1.598650000000000071e-01 2.247190000000000021e-01 1.131569999999999937e-01 1.158649999999999958e-01 1.998729999999999951e-01 1.894280000000000130e-01 2.160779999999999923e-01 2.235219999999999985e-01 1.786699999999999955e-01 1.693230000000000013e-01 1.773210000000000064e-01 1.695560000000000123e-01 1.882769999999999999e-01 1.669650000000000023e-01 1.446669999999999900e-01 1.912889999999999868e-01 1.772420000000000107e-01 1.938149999999999873e-01 1.719579999999999997e-01 2.414610000000000090e-01 1.636450000000000127e-01 1.763160000000000005e-01 1.685439999999999994e-01 1.294299999999999895e-01 1.891919999999999991e-01 2.151659999999999962e-01 1.558609999999999995e-01 2.353739999999999999e-01 3.177510000000000057e-01 2.105229999999999879e-01 1.570680000000000132e-01 2.274019999999999930e-01 1.568209999999999882e-01 9.228699999999999404e-02 1.997140000000000026e-01 3.999999999999999819e-06 1.759830000000000005e-01 1.227950000000000014e-01 1.706630000000000091e-01 1.658779999999999977e-01 1.457160000000000122e-01 1.701689999999999869e-01 2.189859999999999862e-01 2.674819999999999975e-01 2.235010000000000052e-01 1.949359999999999982e-01 2.368399999999999950e-01 2.587519999999999820e-01 1.657810000000000117e-01 2.206079999999999985e-01 2.058319999999999872e-01 2.346100000000000130e-01 1.619700000000000029e-01 1.985359999999999903e-01 1.471669999999999923e-01 1.588990000000000125e-01 8.141900000000000526e-02 2.026550000000000018e-01 1.974319999999999964e-01 1.638749999999999929e-01 1.746159999999999934e-01 1.298449999999999882e-01 1.957530000000000103e-01 2.030540000000000123e-01 1.665089999999999903e-01 2.336110000000000131e-01
2.263179999999999914e-01 2.034499999999999920e-01 2.432580000000000020e-01 2.112249999999999961e-01 1.680899999999999894e-01 2.559660000000000268e-01 3.140260000000000273e-01 2.049120000000000108e-01 2.124030000000000085e-01 3.127440000000000220e-01 1.889750000000000041e-01 2.193599999999999994e-01 1.784580000000000055e-01 2.112199999999999911e-01 1.988820000000000032e-01 2.204959999999999976e-01 2.143660000000000010e-01 2.767879999999999785e-01 1.596390000000000031e-01 2.799499999999999766e-01 2.615739999999999732e-01 2.492119999999999891e-01 2.613550000000000040e-01 1.483389999999999986e-01 1.941700000000000093e-01 2.855779999999999985e-01 2.861770000000000147e-01 2.240679999999999894e-01 2.898229999999999973e-01 2.832299999999999818e-01 2.437390000000000112e-01 1.721250000000000002e-01 3.284460000000000157e-01 3.097320000000000073e-01 1.967780000000000085e-01 2.414090000000000125e-01 2.580930000000000168e-01 2.686819999999999764e-01 2.488019999999999954e-01 2.458579999999999932e-01 2.980280000000000151e-01 1.835110000000000074e-01 2.627689999999999748e-01 1.917850000000000110e-01 1.466850000000000098e-01 2.017619999999999969e-01 2.154210000000000014e-01 1.739090000000000080e-01 1.759789999999999965e-01 2.195940000000000114e-01 2.295369999999999910e-01 2.720210000000000128e-01 1.918620000000000048e-01 2.285010000000000097e-01 2.150729999999999864e-01 1.946900000000000019e-01 2.201359999999999983e-01 2.372450000000000114e-01 2.570990000000000220e-01 2.647740000000000093e-01 2.422350000000000059e-01 2.380069999999999963e-01 2.768189999999999817e-01 1.851980000000000015e-01 1.607969999999999955e-01 2.840070000000000094e-01 2.001789999999999958e-01 2.967139999999999778e-01 1.981439999999999868e-01 4.713470000000000160e-01 2.576300000000000257e-01 2.699320000000000053e-01 2.183519999999999905e-01 3.264850000000000252e-01 3.221890000000000032e-01 2.627999999999999781e-01 3.439949999999999952e-01 2.136129999999999973e-01 3.033569999999999878e-01 1.822840000000000016e-01 2.656850000000000045e-01 2.076959999999999917e-01 2.437970000000000137e-01 2.249490000000000101e-01 2.002259999999999873e-01 2.434389999999999887e-01 2.513710000000000111e-01 2.977369999999999739e-01 2.830369999999999830e-01 2.064149999999999874e-01 1.892270000000000063e-01 2.314430000000000098e-01 1.757970000000000088e-01 2.233670000000000100e-01 2.450039999999999996e-01 2.142610000000000070e-01 2.432950000000000113e-01 1.979210000000000136e-01 1.679579999999999962e-01 2.393659999999999954e-01
4.234899999999999776e-02 1.534100000000000047e-02 1.131999999999999977e-03 2.454000000000000018e-03 3.999999999999999819e-06 6.943000000000000387e-03 3.999999999999999819e-06 2.258200000000000138e-02 4.147300000000000292e-02 5.102999999999999897e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.984999999999999827e-03 2.959999999999999958e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.060000000000000016e-04 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.979999999999999897e-04 3.402000000000000076e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 4.759000000000000209e-03 2.063000000000000164e-03 3.008800000000000016e-02 8.156999999999999321e-03 8.267000000000000043e-03 1.894999999999999983e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.745499999999999829e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.899899999999999853e-02 3.999999999999999819e-06 3.999999999999999819e-06 9.981000000000000288e-03 3.375299999999999828e-02 9.195999999999999314e-03 9.400999999999999635e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.692600000000000007e-02 3.999999999999999819e-06 3.999999999999999819e-06 6.634000000000000140e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.616499999999999881e-02 1.060600000000000084e-02 3.999999999999999819e-06 1.376100000000000066e-02 2.345600000000000115e-02 3.999999999999999819e-06 6.074000000000000406e-03 3.999999999999999819e-06 8.774000000000000549e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 8.390999999999999154e-03 1.775200000000000042e-02 2.003299999999999872e-02 3.323299999999999865e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 8.541999999999999246e-03 3.999999999999999819e-06 4.584300000000000180e-02 3.999999999999999819e-06 1.543000000000000101e-03 3.999999999999999819e-06 1.507900000000000039e-02 3.999999999999999819e-06 8.387999999999999623e-03 3.999999999999999819e-06 1.839000000000000010e-02 3.999999999999999819e-06 3.999999999999999819e-06
2.784889999999999866e-01 1.953370000000000106e-01 1.770889999999999964e-01 2.556709999999999816e-01 2.259899999999999964e-01 1.447640000000000038e-01 3.287559999999999927e-01 2.672039999999999971e-01 1.675059999999999882e-01 3.613999999999999851e-02 1.823380000000000001e-01 2.104669999999999874e-01 2.202909999999999868e-01 1.516800000000000093e-01 2.096719999999999973e-01 2.647030000000000216e-01 2.502590000000000092e-01 2.413069999999999937e-01 1.353080000000000116e-01 2.252840000000000120e-01 2.222230000000000039e-01 1.803649999999999975e-01 1.220419999999999977e-01 2.081649999999999889e-01 1.794060000000000099e-01 3.622739999999999849e-01 2.137650000000000106e-01 1.262389999999999901e-01 2.176970000000000016e-01 1.808170000000000055e-01 2.903709999999999902e-01 1.359350000000000003e-01 1.662140000000000006e-01 2.361409999999999898e-01 2.920459999999999723e-01 2.254059999999999953e-01 2.252550000000000108e-01 1.330580000000000096e-01 2.385649999999999993e-01 2.539230000000000098e-01 1.841450000000000031e-01 1.585060000000000080e-01 2.755779999999999896e-01 1.726719999999999922e-01 1.945580000000000087e-01 3.261000000000000010e-01 1.644170000000000076e-01 1.480960000000000054e-01 1.521560000000000135e-01 3.362140000000000128e-01 2.021820000000000006e-01 1.321239999999999915e-01 1.925449999999999939e-01 1.985820000000000085e-01 2.436780000000000057e-01 2.045520000000000116e-01 2.139959999999999918e-01 1.810589999999999977e-01 2.502550000000000052e-01 2.382990000000000108e-01 1.724110000000000087e-01 1.842030000000000056e-01 2.296169999999999878e-01 1.489469999999999961e-01 2.402120000000000088e-01 4.297999999999999737e-03 2.549440000000000039e-01 3.006389999999999896e-01 2.208630000000000038e-01 4.471129999999999827e-01 2.417580000000000007e-01 1.408899999999999875e-01 1.790279999999999927e-01 2.410720000000000085e-01 3.692670000000000119e-01 1.999100000000000044e-01 2.082289999999999974e-01 2.263509999999999966e-01 6.280099999999999572e-02 1.792150000000000132e-01 2.245060000000000111e-01 1.251259999999999872e-01 2.289950000000000041e-01 2.644020000000000259e-01 9.113000000000000267e-02 2.325780000000000070e-01 2.548639999999999795e-01 1.896249999999999880e-01 1.512749999999999928e-01 1.723709999999999964e-01 1.849159999999999970e-01 1.530120000000000091e-01 1.953860000000000041e-01 2.270040000000000113e-01 1.453820000000000112e-01 1.615669999999999884e-01 1.844810000000000061e-01 2.069979999999999876e-01 2.059419999999999862e-01 2.148730000000000084e-01
1.449010000000000020e-01 2.085390000000000021e-01 1.598880000000000023e-01 7.946300000000000585e-02 1.432650000000000035e-01 2.238779999999999937e-01 1.383340000000000125e-01 1.425599999999999923e-01 1.259599999999999886e-01 2.208440000000000125e-01 1.653080000000000105e-01 2.042710000000000081e-01 1.521679999999999977e-01 2.503340000000000010e-01 1.718449999999999978e-01 1.701850000000000029e-01 1.677879999999999927e-01 1.258789999999999909e-01 2.105630000000000002e-01 2.130660000000000054e-01 1.978489999999999971e-01 1.379900000000000015e-01 2.691089999999999871e-01 2.160519999999999941e-01 2.037319999999999964e-01 3.940599999999999659e-02 1.807259999999999978e-01 1.988749999999999962e-01 1.533539999999999903e-01 2.384400000000000130e-01 2.192749999999999977e-01 2.087170000000000136e-01 1.762469999999999870e-01 1.558489999999999875e-01 1.592320000000000124e-01 2.004630000000000023e-01 1.493599999999999928e-01 2.034719999999999862e-01 1.820009999999999961e-01 1.439010000000000011e-01 1.772430000000000117e-01 2.336610000000000076e-01 1.422350000000000003e-01 1.727849999999999941e-01 1.605360000000000120e-01 1.666209999999999913e-01 2.331469999999999931e-01 1.411949999999999872e-01 1.315709999999999935e-01 1.758119999999999961e-01 2.069600000000000051e-01 1.790930000000000022e-01 1.654400000000000037e-01 2.159750000000000003e-01 1.950890000000000124e-01 1.967569999999999875e-01 2.301030000000000020e-01 2.191889999999999949e-01 1.660530000000000062e-01 1.669889999999999985e-01 1.222909999999999969e-01 2.347420000000000062e-01 2.366070000000000118e-01 2.945300000000000140e-01 1.477130000000000110e-01 2.259009999999999907e-01 1.916990000000000083e-01 1.138190000000000035e-01 2.981179999999999941e-01 3.999999999999999819e-06 1.659680000000000044e-01 2.341699999999999893e-01 2.191130000000000022e-01 1.369219999999999882e-01 1.401699999999999890e-01 2.034509999999999930e-01 2.966539999999999733e-01 2.077289999999999970e-01 2.018669999999999909e-01 2.249520000000000131e-01 1.011930000000000052e-01 1.692879999999999940e-01 1.351479999999999904e-01 2.099419999999999897e-01 1.850239999999999940e-01 1.759350000000000080e-01 1.689940000000000053e-01 1.825920000000000043e-01 1.828009999999999913e-01 1.985619999999999885e-01 1.006179999999999991e-01 1.361610000000000043e-01 1.792289999999999994e-01 1.629849999999999910e-01 2.108589999999999909e-01 1.656779999999999919e-01 2.716609999999999858e-01 1.587119999999999920e-01 1.730049999999999921e-01 1.431800000000000017e-01
3.912700000000000206e-02 1.465999999999999942e-02 8.505200000000000260e-02 2.570199999999999915e-02 1.119200000000000056e-02 4.457300000000000151e-02 3.043099999999999972e-02 1.205499999999999974e-02 2.153599999999999959e-02 2.298010000000000053e-01 2.435400000000000065e-02 3.097799999999999859e-02 6.376500000000000223e-02 4.755800000000000305e-02 3.709799999999999903e-02 2.615400000000000016e-02 2.808599999999999985e-02 1.028600000000000000e-02 8.014999999999999902e-02 6.361700000000000688e-02 3.578800000000000037e-02 1.946099999999999913e-02 1.994100000000000039e-02 2.680599999999999997e-02 2.622800000000000131e-02 5.954299999999999871e-02 2.532500000000000029e-02 6.528100000000000569e-02 1.793399999999999855e-02 4.993399999999999922e-02 7.446999999999999627e-03 2.324400000000000077e-02 1.264299999999999972e-02 2.061599999999999891e-02 1.099900000000000010e-02 3.844299999999999801e-02 2.466399999999999842e-02 1.212990000000000040e-01 2.756300000000000069e-02 3.080899999999999958e-02 2.800000000000000058e-02 2.423200000000000007e-02 2.568099999999999897e-02 5.241699999999999832e-02 2.158600000000000102e-02 5.998400000000000259e-02 3.135700000000000293e-02 7.209100000000000230e-02 7.424799999999999456e-02 3.724100000000000327e-02 2.965299999999999880e-02 3.086399999999999907e-02 3.656800000000000328e-02 4.449899999999999689e-02 6.370999999999999927e-03 1.854400000000000145e-02 3.145200000000000079e-02 5.225500000000000284e-02 2.912199999999999858e-02 3.938099999999999934e-02 3.753399999999999792e-02 4.461099999999999788e-02 2.735599999999999837e-02 3.168100000000000083e-02 1.176800000000000068e-02 1.664779999999999871e-01 7.517000000000000244e-03 2.869000000000000022e-03 1.690300000000000136e-02 2.639100000000000126e-02 2.369100000000000025e-02 1.631600000000000064e-02 5.162100000000000022e-02 1.894399999999999903e-02 3.873599999999999960e-02 1.429099999999999988e-02 6.567299999999999527e-02 1.877500000000000002e-02 1.084549999999999959e-01 1.964199999999999974e-02 8.746000000000000302e-03 2.396900000000000072e-02 3.999999999999999819e-06 2.177899999999999975e-02 1.352949999999999986e-01 1.940800000000000164e-02 1.777700000000000113e-02 2.446200000000000110e-02 1.402720000000000078e-01 2.630100000000000146e-02 5.186700000000000338e-02 3.167600000000000277e-02 3.063600000000000004e-02 4.456399999999999945e-02 3.928799999999999654e-02 3.638399999999999967e-02 3.747099999999999737e-02 3.904400000000000232e-02 1.757200000000000081e-02 2.041899999999999965e-02
