# geo_500.0_sim_0 geo_500.0_sim_1 geo_500.0_sim_2 geo_500.0_sim_3 geo_500.0_sim_4 geo_500.0_sim_5 geo_500.0_sim_6 geo_500.0_sim_7 geo_500.0_sim_8 geo_500.0_sim_9 geo_500.0_sim_10 geo_500.0_sim_11 geo_500.0_sim_12 geo_500.0_sim_13 geo_500.0_sim_14 geo_500.0_sim_15 geo_500.0_sim_16 geo_500.0_sim_17 geo_500.0_sim_18 geo_500.0_sim_19 geo_500.0_sim_20 geo_500.0_sim_21 geo_500.0_sim_22 geo_500.0_sim_23 geo_500.0_sim_24 geo_500.0_sim_25 geo_500.0_sim_26 geo_500.0_sim_27 geo_500.0_sim_28 geo_500.0_sim_29 geo_500.0_sim_30 geo_500.0_sim_31 geo_500.0_sim_32 geo_500.0_sim_33 geo_500.0_sim_34 geo_500.0_sim_35 geo_500.0_sim_36 geo_500.0_sim_37 geo_500.0_sim_38 geo_500.0_sim_39 geo_500.0_sim_40 geo_500.0_sim_41 geo_500.0_sim_42 geo_500.0_sim_43 geo_500.0_sim_44 geo_500.0_sim_45 geo_500.0_sim_46 geo_500.0_sim_47 geo_500.0_sim_48 geo_500.0_sim_49 geo_500.0_sim_50 geo_500.0_sim_51 geo_500.0_sim_52 geo_500.0_sim_53 geo_500.0_sim_54 geo_500.0_sim_55 geo_500.0_sim_56 geo_500.0_sim_57 geo_500.0_sim_58 geo_500.0_sim_59 geo_500.0_sim_60 geo_500.0_sim_61 geo_500.0_sim_62 geo_500.0_sim_63 geo_500.0_sim_64 geo_500.0_sim_65 geo_500.0_sim_66 geo_500.0_sim_67 geo_500.0_sim_68 geo_500.0_sim_69 geo_500.0_sim_70 geo_500.0_sim_71 geo_500.0_sim_72 geo_500.0_sim_73 geo_500.0_sim_74 geo_500.0_sim_75 geo_500.0_sim_76 geo_500.0_sim_77 geo_500.0_sim_78 geo_500.0_sim_79 geo_500.0_sim_80 geo_500.0_sim_81 geo_500.0_sim_82 geo_500.0_sim_83 geo_500.0_sim_84 geo_500.0_sim_85 geo_500.0_sim_86 geo_500.0_sim_87 geo_500.0_sim_88 geo_500.0_sim_89 geo_500.0_sim_90 geo_500.0_sim_91 geo_500.0_sim_92 geo_500.0_sim_93 geo_500.0_sim_94 geo_500.0_sim_95 geo_500.0_sim_96 geo_500.0_sim_97 geo_500.0_sim_98 geo_500.0_sim_99
-1.806346262000000024e+03 -1.835537270999999919e+03 -1.954258190000000013e+03 -1.775066401999999925e+03 -2.131195549999999912e+03 -1.975020209000000023e+03 -2.349466789000000063e+03 -2.282003862000000026e+03 -2.151810591999999815e+03 -2.121552035000000160e+03 -1.959925385000000006e+03 -1.933354959000000008e+03 -2.102895026000000144e+03 -2.085229103000000123e+03 -2.044914786000000049e+03 -1.878001426000000038e+03 -2.209014231000000109e+03 -2.153406559000000016e+03 -1.892850431000000071e+03 -2.110980183000000125e+03 -1.869657392999999956e+03 -2.123359273000000030e+03 -1.969734359000000040e+03 -2.187254378000000088e+03 -2.312280897000000095e+03 -2.039411718000000064e+03 -2.167109422999999879e+03 -2.139796049000000039e+03 -1.950650540000000092e+03 -1.931139032000000043e+03 -2.110752872000000025e+03 -1.927193514999999934e+03 -2.389863080000000082e+03 -1.984593661000000111e+03 -2.022067082999999911e+03 -1.797050893000000087e+03 -1.895333438999999998e+03 -1.936956143000000111e+03 -2.303341343999999935e+03 -2.022782085999999936e+03 -2.038934171999999990e+03 -1.923927404999999908e+03 -2.411861950999999863e+03 -1.847165246000000025e+03 -2.111487544000000071e+03 -1.907847743000000037e+03 -2.005820128000000068e+03 -1.870580132000000049e+03 -1.985377686999999924e+03 -1.934729816999999912e+03 -2.110882154999999784e+03 -2.235152473000000100e+03 -2.234188145999999961e+03 -2.097662600999999995e+03 -2.091448711000000003e+03 -1.998213355000000092e+03 -2.057562613999999940e+03 -1.905738520999999992e+03 -1.930144522000000052e+03 -2.135154105999999956e+03 -1.917701452000000018e+03 -1.856672757999999931e+03 -2.115388461000000007e+03 -2.092139455999999882e+03 -2.234735000000000127e+03 -1.933006916999999930e+03 -2.078396694000000025e+03 -1.964238970000000108e+03 -1.943554035000000113e+03 -2.114654649999999947e+03 -1.811541956999999911e+03 -2.176278667999999925e+03 -1.978442708999999923e+03 -2.247052106000000094e+03 -1.945020813999999973e+03 -2.182738393000000087e+03 -2.146113745999999992e+03 -1.976553022000000055e+03 -1.890778411000000006e+03 -1.993597655000000032e+03 -2.078173722999999882e+03 -1.843074955000000045e+03 -1.936297851999999921e+03 -2.136901785999999902e+03 -1.813212823000000071e+03 -2.016984408000000030e+03 -2.032817379000000074e+03 -2.079197674000000006e+03 -1.994695005000000037e+03 -1.944800445999999965e+03 -2.120645867000000180e+03 -2.163394357000000127e+03 -2.030402100000000019e+03 -2.227645191999999952e+03 -1.928281533000000081e+03 -1.930036933999999974e+03 -1.960564892000000100e+03 -2.020352280000000064e+03 -2.361908759999999802e+03 -1.981166410000000042e+03
1.108511999999999986e+01 8.023009999999999309e+00 9.562269999999999825e+00 7.266910000000000203e+00 8.183690000000000353e+00 7.559120000000000061e+00 8.461040000000000560e+00 9.688140000000000640e+00 9.208970000000000766e+00 8.402620000000000644e+00 5.780470000000000219e+00 1.026772000000000062e+01 9.382440000000000779e+00 9.068239999999999412e+00 9.832990000000000563e+00 7.106530000000000236e+00 8.514469999999999317e+00 8.298040000000000305e+00 7.071390000000000065e+00 9.751070000000000348e+00 1.103895999999999944e+01 9.503149999999999764e+00 8.025520000000000209e+00 8.477619999999999933e+00 1.022202000000000055e+01 8.430260000000000531e+00 7.675589999999999691e+00 7.857029999999999959e+00 7.164259999999999629e+00 9.765480000000000160e+00 1.034073000000000064e+01 8.723530000000000229e+00 7.652330000000000076e+00 8.766970000000000596e+00 7.911249999999999893e+00 1.078631999999999991e+01 7.509129999999999860e+00 8.663880000000000692e+00 7.976449999999999818e+00 7.725240000000000329e+00 9.278679999999999595e+00 7.133280000000000065e+00 6.599669999999999703e+00 1.039259999999999984e+01 6.276030000000000442e+00 1.202856000000000058e+01 6.314000000000000057e+00 1.191649999999999920e+01 8.004960000000000520e+00 7.898360000000000269e+00 8.654769999999999186e+00 7.730240000000000222e+00 7.196060000000000123e+00 7.727619999999999933e+00 7.628309999999999924e+00 6.530890000000000306e+00 1.018562000000000012e+01 8.560249999999999915e+00 9.086959999999999482e+00 6.294719999999999871e+00 7.355129999999999946e+00 7.603419999999999845e+00 7.910809999999999675e+00 7.574699999999999989e+00 7.893069999999999808e+00 6.291529999999999845e+00 6.904279999999999973e+00 7.940400000000000347e+00 7.551309999999999967e+00 7.216949999999999754e+00 8.390539999999999665e+00 7.024630000000000152e+00 9.329150000000000276e+00 6.133499999999999730e+00 7.972999999999999865e+00 8.375289999999999679e+00 9.923389999999999489e+00 8.771610000000000795e+00 8.717019999999999769e+00 8.215199999999999392e+00 8.570289999999999964e+00 9.604950000000000543e+00 6.120669999999999611e+00 8.197630000000000194e+00 9.200079999999999814e+00 7.444259999999999877e+00 7.998260000000000147e+00 7.399469999999999992e+00 8.295180000000000220e+00 8.301859999999999573e+00 9.531319999999999126e+00 9.224209999999999354e+00 8.881199999999999761e+00 8.272230000000000416e+00 8.318960000000000576e+00 7.919109999999999872e+00 6.952160000000000117e+00 6.367549999999999599e+00 7.016350000000000087e+00 9.852410000000000778e+00
8.554699999999999527e-01 9.735099999999999865e-01 1.364870000000000028e+00 1.275800000000000045e+00 1.021879999999999900e+00 9.189800000000000191e-01 1.025649999999999951e+00 9.838700000000000223e-01 9.356499999999999817e-01 1.094249999999999945e+00 1.026899999999999924e+00 1.030070000000000041e+00 1.187540000000000040e+00 1.066769999999999996e+00 9.341699999999999449e-01 9.170399999999999663e-01 1.140430000000000055e+00 8.096700000000000008e-01 8.187100000000000488e-01 1.120389999999999997e+00 9.348100000000000298e-01 9.086999999999999522e-01 8.399900000000000144e-01 9.865899999999999670e-01 1.011870000000000047e+00 1.066510000000000069e+00 1.197750000000000092e+00 9.733199999999999630e-01 6.962599999999999900e-01 9.790900000000000158e-01 1.087339999999999973e+00 8.558999999999999941e-01 8.315599999999999659e-01 9.111799999999999899e-01 8.742699999999999916e-01 1.046319999999999917e+00 8.301600000000000090e-01 8.768899999999999473e-01 1.010369999999999990e+00 1.058280000000000109e+00 9.810799999999999521e-01 6.538599999999999968e-01 8.573800000000000310e-01 1.041809999999999903e+00 9.957500000000000240e-01 1.109459999999999891e+00 9.319899999999999851e-01 9.958900000000000530e-01 1.095790000000000042e+00 8.391600000000000170e-01 1.236809999999999965e+00 9.347400000000000153e-01 1.450809999999999933e+00 7.889500000000000401e-01 7.855900000000000105e-01 1.056680000000000064e+00 1.011519999999999975e+00 1.293290000000000051e+00 9.408199999999999896e-01 9.470499999999999474e-01 1.132309999999999928e+00 1.266469999999999985e+00 1.037549999999999972e+00 1.268329999999999957e+00 1.017099999999999893e+00 1.165869999999999962e+00 7.630400000000000515e-01 9.281700000000000506e-01 1.169010000000000105e+00 9.448999999999999622e-01 1.697719999999999896e+00 8.677799999999999958e-01 7.583699999999999886e-01 9.175499999999999767e-01 1.186590000000000034e+00 8.209899999999999975e-01 6.835200000000000164e-01 1.130880000000000107e+00 9.233500000000000041e-01 1.065339999999999954e+00 8.340400000000000036e-01 1.010410000000000030e+00 9.676799999999999846e-01 9.792100000000000248e-01 9.986599999999999921e-01 1.126079999999999970e+00 7.868600000000000039e-01 1.026299999999999990e+00 1.032040000000000068e+00 1.020199999999999996e+00 1.087190000000000101e+00 1.344759999999999955e+00 9.083400000000000363e-01 1.102549999999999919e+00 9.601600000000000135e-01 1.190229999999999899e+00 8.261600000000000055e-01 9.631300000000000416e-01 1.104989999999999917e+00 1.085090000000000110e+00
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.425000000000000176e-03 3.999999999999999819e-06 3.999999999999999819e-06 4.443199999999999927e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.265000000000000107e-03 2.478700000000000001e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.531999999999999633e-03 8.285000000000000697e-03 3.999999999999999819e-06 3.999999999999999819e-06 6.542000000000000072e-03 9.317999999999999894e-03 3.999999999999999819e-06 6.549999999999999833e-04 3.413999999999999934e-03 1.140200000000000068e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 2.661000000000000171e-02 2.229999999999999994e-04 3.999999999999999819e-06 4.190800000000000081e-02 3.999999999999999819e-06 1.630000000000000047e-04 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.113000000000000399e-03 3.999999999999999819e-06 1.259000000000000050e-02 6.021999999999999575e-03 6.856000000000000115e-03 4.326200000000000184e-02 3.999999999999999819e-06 3.999999999999999819e-06 4.568400000000000238e-02 3.999999999999999819e-06 3.432600000000000234e-02 2.159399999999999861e-02 3.999999999999999819e-06 1.300100000000000040e-02 4.819999999999999632e-03 1.845499999999999918e-02 3.999999999999999819e-06 3.029600000000000001e-02 9.084000000000000061e-03 2.013000000000000032e-03 5.722999999999999789e-03 1.871300000000000047e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.583999999999999946e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.277299999999999963e-02 3.999999999999999819e-06 3.999999999999999819e-06 2.283200000000000160e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.846999999999999788e-03 1.859399999999999942e-02 1.606799999999999895e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.978999999999999981e-03 3.999999999999999819e-06 1.553299999999999993e-02 3.999999999999999819e-06 2.125000000000000153e-02 1.176100000000000062e-02 3.811099999999999904e-02 2.509700000000000125e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.736999999999999933e-03
1.797169999999999879e-01 2.885670000000000179e-01 2.591240000000000210e-01 2.096679999999999933e-01 2.796429999999999749e-01 2.546619999999999995e-01 2.547829999999999817e-01 2.487340000000000106e-01 3.242539999999999867e-01 2.221859999999999946e-01 2.131669999999999954e-01 2.213670000000000082e-01 2.638190000000000257e-01 2.287939999999999974e-01 2.260429999999999939e-01 1.944359999999999977e-01 2.860380000000000145e-01 2.370160000000000045e-01 2.300780000000000047e-01 2.075249999999999873e-01 2.590080000000000160e-01 3.089970000000000216e-01 2.837790000000000035e-01 1.438409999999999966e-01 3.316140000000000199e-01 2.011709999999999887e-01 2.677039999999999975e-01 2.535209999999999964e-01 3.358800000000000119e-01 4.419939999999999980e-01 2.299960000000000060e-01 2.420380000000000031e-01 2.837149999999999950e-01 3.204710000000000059e-01 2.784619999999999873e-01 2.140090000000000048e-01 3.814549999999999885e-01 1.977619999999999933e-01 2.062799999999999911e-01 2.465209999999999901e-01 1.758109999999999951e-01 2.234939999999999982e-01 1.932169999999999999e-01 2.233719999999999872e-01 2.226130000000000053e-01 3.419690000000000230e-01 2.075319999999999943e-01 2.065829999999999889e-01 1.903090000000000059e-01 2.155690000000000106e-01 2.515510000000000246e-01 2.913259999999999739e-01 1.953270000000000006e-01 2.162850000000000050e-01 1.878549999999999942e-01 2.979140000000000121e-01 2.083899999999999919e-01 2.843550000000000244e-01 4.827460000000000084e-01 2.322099999999999997e-01 1.975230000000000041e-01 2.253370000000000095e-01 1.794080000000000119e-01 2.691439999999999944e-01 2.252820000000000100e-01 2.352190000000000114e-01 2.413490000000000080e-01 1.742829999999999935e-01 2.025299999999999878e-01 2.440579999999999972e-01 2.290099999999999913e-01 2.501280000000000170e-01 2.537539999999999796e-01 2.594910000000000272e-01 2.311410000000000131e-01 2.618530000000000024e-01 2.408780000000000088e-01 2.750710000000000099e-01 2.313649999999999873e-01 2.130549999999999944e-01 2.409360000000000113e-01 1.735099999999999976e-01 2.162709999999999910e-01 2.081089999999999884e-01 3.442529999999999757e-01 1.705260000000000109e-01 2.624389999999999779e-01 2.799860000000000126e-01 3.515630000000000144e-01 2.276170000000000138e-01 1.926170000000000104e-01 2.421500000000000041e-01 3.663100000000000245e-01 2.248459999999999903e-01 1.742140000000000077e-01 1.772269999999999956e-01 1.942609999999999892e-01 2.083059999999999912e-01 2.115480000000000138e-01 2.416010000000000102e-01
6.176000000000000066e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.763899999999999843e-02 2.194400000000000170e-02 5.564000000000000369e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.270300000000000075e-02 3.999999999999999819e-06 3.999999999999999819e-06 2.409400000000000083e-02 3.763199999999999878e-02 3.999999999999999819e-06 1.400700000000000035e-02 3.999999999999999819e-06 2.281100000000000141e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 4.673000000000000070e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.883700000000000346e-02 3.999999999999999819e-06 9.341999999999999610e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.558200000000000036e-02 3.200000000000000153e-03 3.999999999999999819e-06 3.999999999999999819e-06 6.356999999999999804e-03 3.053799999999999917e-02 3.999999999999999819e-06 3.255500000000000060e-02 3.999999999999999819e-06 2.956999999999999906e-02 3.999999999999999819e-06 3.834999999999999867e-03 9.325999999999999221e-03 3.999999999999999819e-06 1.047599999999999920e-02 5.878000000000000412e-03 3.999999999999999819e-06 5.283999999999999635e-03 6.695999999999999695e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.769000000000000086e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.071000000000000077e-02 1.510000000000000057e-02 3.999999999999999819e-06 1.647600000000000106e-02 5.129500000000000032e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.453999999999999997e-03 2.632599999999999871e-02 3.054099999999999870e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.228399999999999978e-02 5.211999999999999619e-03 3.999999999999999819e-06 3.999999999999999819e-06 2.075700000000000114e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.315000000000000321e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
2.297939999999999983e-01 1.172610000000000041e-01 2.156470000000000053e-01 1.503120000000000012e-01 2.656689999999999885e-01 2.687720000000000109e-01 2.380600000000000077e-02 2.514390000000000236e-01 3.999999999999999819e-06 2.410229999999999873e-01 1.814439999999999942e-01 2.182520000000000016e-01 1.907320000000000126e-01 1.931460000000000121e-01 2.211889999999999967e-01 1.100069999999999937e-01 1.361999999999999929e-03 2.957670000000000021e-01 2.396719999999999962e-01 2.760299999999999976e-01 2.841810000000000169e-01 2.247260000000000091e-01 2.376270000000000049e-01 1.598710000000000131e-01 1.830150000000000110e-01 2.039769999999999917e-01 2.565430000000000210e-01 1.384180000000000132e-01 2.252800000000000080e-01 3.999999999999999819e-06 2.300319999999999865e-01 2.456790000000000085e-01 6.066400000000000264e-02 3.608850000000000113e-01 1.960669999999999913e-01 1.691070000000000073e-01 6.138000000000000227e-03 1.210070000000000034e-01 2.436719999999999997e-01 2.127709999999999879e-01 1.574200000000000044e-01 2.381389999999999896e-01 2.193189999999999862e-01 2.327629999999999977e-01 2.250070000000000126e-01 1.480200000000000127e-01 1.715980000000000005e-01 2.194750000000000034e-01 2.050230000000000108e-01 2.796350000000000224e-01 2.118950000000000000e-01 1.203749999999999959e-01 2.101280000000000092e-01 2.341590000000000060e-01 2.254230000000000123e-01 2.383589999999999876e-01 1.440760000000000096e-01 1.785279999999999923e-01 3.295890000000000208e-01 2.257510000000000072e-01 1.707619999999999971e-01 1.637550000000000117e-01 1.838849999999999929e-01 1.228550000000000059e-01 1.518079999999999985e-01 2.278290000000000037e-01 1.778280000000000138e-01 2.188019999999999965e-01 2.478289999999999937e-01 2.069489999999999941e-01 1.432789999999999897e-01 2.109920000000000129e-01 2.494220000000000048e-01 2.076210000000000000e-01 2.297369999999999968e-01 2.218150000000000122e-01 1.783559999999999868e-01 1.866130000000000011e-01 1.830090000000000050e-01 1.648540000000000005e-01 2.419650000000000134e-01 1.213820000000000038e-01 2.373450000000000004e-01 1.812340000000000062e-01 3.779830000000000134e-01 1.018609999999999932e-01 2.196660000000000001e-01 1.722559999999999925e-01 1.587699999999999945e-01 1.654239999999999877e-01 2.742780000000000218e-01 2.095809999999999895e-01 3.245049999999999879e-01 2.326830000000000009e-01 2.237599999999999867e-01 1.919130000000000003e-01 2.394660000000000122e-01 3.424360000000000182e-01 2.640069999999999917e-01 2.341860000000000053e-01
9.477099999999999413e-02 1.936070000000000013e-01 1.689799999999999913e-01 9.329800000000000593e-02 1.443520000000000081e-01 1.447960000000000080e-01 2.552639999999999909e-01 1.795980000000000076e-01 4.308569999999999900e-01 1.738510000000000055e-01 1.784779999999999978e-01 2.063689999999999969e-01 1.920820000000000027e-01 1.925709999999999922e-01 2.234810000000000130e-01 1.793230000000000102e-01 2.337519999999999876e-01 1.736149999999999916e-01 1.816230000000000067e-01 1.003600000000000048e-01 1.138419999999999987e-01 2.711069999999999869e-01 1.881889999999999952e-01 1.562679999999999902e-01 1.548589999999999967e-01 2.382400000000000073e-01 1.623100000000000098e-01 2.452370000000000105e-01 1.326920000000000044e-01 4.085320000000000062e-01 1.640129999999999921e-01 1.935540000000000038e-01 1.708590000000000109e-01 3.265500000000000347e-02 1.422229999999999883e-01 1.647419999999999995e-01 3.621190000000000242e-01 1.608430000000000137e-01 1.968630000000000102e-01 2.197220000000000006e-01 2.150189999999999879e-01 1.069979999999999959e-01 2.455920000000000047e-01 1.826480000000000048e-01 1.244760000000000033e-01 3.058839999999999892e-01 1.923020000000000007e-01 1.448810000000000098e-01 1.747650000000000037e-01 1.901760000000000117e-01 1.475779999999999870e-01 2.040170000000000039e-01 1.229039999999999994e-01 2.050549999999999873e-01 2.406480000000000008e-01 1.982760000000000078e-01 1.824890000000000123e-01 1.954059999999999964e-01 8.156999999999999321e-03 1.419469999999999898e-01 1.725270000000000137e-01 1.460349999999999981e-01 1.825749999999999873e-01 2.724099999999999855e-01 1.506409999999999971e-01 1.020490000000000008e-01 1.638360000000000094e-01 1.122480000000000006e-01 1.538039999999999963e-01 2.322460000000000080e-01 1.180480000000000002e-01 1.863690000000000069e-01 1.718429999999999958e-01 1.930820000000000036e-01 1.411779999999999979e-01 8.225599999999999579e-02 1.109279999999999988e-01 1.817950000000000121e-01 1.900749999999999940e-01 1.572290000000000076e-01 1.785160000000000080e-01 1.755210000000000103e-01 1.420770000000000088e-01 1.883430000000000104e-01 6.104000000000000051e-03 1.835179999999999867e-01 1.589220000000000077e-01 1.832429999999999892e-01 1.817840000000000011e-01 1.868700000000000083e-01 1.954780000000000129e-01 1.227270000000000028e-01 1.243599999999999983e-01 1.685220000000000051e-01 1.594029999999999891e-01 1.973910000000000109e-01 2.270929999999999893e-01 1.506210000000000049e-01 1.627879999999999883e-01 1.723520000000000052e-01
1.016899999999999922e-02 5.164400000000000240e-02 1.879000000000000115e-02 6.278599999999999459e-02 3.109699999999999964e-02 2.581599999999999867e-02 1.802960000000000118e-01 4.247299999999999687e-02 4.389500000000000346e-02 3.565100000000000213e-02 3.507500000000000201e-02 3.802200000000000024e-02 5.262900000000000217e-02 5.654000000000000171e-03 1.993899999999999839e-02 3.908299999999999969e-02 2.522240000000000038e-01 3.250000000000000111e-02 1.885600000000000123e-02 2.821999999999999856e-02 2.147999999999999909e-02 3.023599999999999899e-02 3.483599999999999891e-02 3.999999999999999819e-06 3.000699999999999895e-02 1.174099999999999970e-02 2.202499999999999944e-02 1.668930000000000136e-01 1.726400000000000157e-02 4.898199999999999776e-02 4.448699999999999877e-02 2.970400000000000124e-02 2.486829999999999874e-01 4.225099999999999689e-02 1.715900000000000064e-02 1.770100000000000146e-02 4.919500000000000262e-02 1.899999999999999953e-02 3.780800000000000133e-02 3.156599999999999684e-02 1.274100000000000059e-02 7.830099999999999560e-02 2.266699999999999965e-02 1.205900000000000027e-02 1.814400000000000041e-02 3.381800000000000084e-02 6.335000000000000353e-03 3.171399999999999914e-02 2.539100000000000038e-02 4.304800000000000293e-02 1.013599999999999918e-02 1.054719999999999963e-01 2.327500000000000055e-02 4.602099999999999941e-02 5.443699999999999928e-02 3.387500000000000233e-02 1.000400000000000039e-01 1.966100000000000139e-02 1.357700000000000053e-02 9.986000000000000085e-03 2.501600000000000004e-02 5.519999999999999733e-03 3.953999999999999876e-02 1.275599999999999998e-02 2.734100000000000072e-02 2.374499999999999875e-02 3.308099999999999929e-02 6.383600000000000385e-02 2.568399999999999850e-02 2.099200000000000024e-02 3.999999999999999819e-06 2.162700000000000039e-02 2.912700000000000011e-02 3.229699999999999932e-02 1.263200000000000087e-02 1.003300000000000025e-02 3.402700000000000169e-02 5.952000000000000346e-02 5.231000000000000406e-03 8.714700000000000224e-02 2.389600000000000057e-02 2.488399999999999987e-02 3.005599999999999938e-02 4.504799999999999777e-02 3.546099999999999947e-02 1.003639999999999949e-01 2.624800000000000050e-02 2.525300000000000114e-02 3.107599999999999946e-02 7.632500000000000395e-02 6.112599999999999978e-02 6.398600000000000121e-02 1.832699999999999954e-02 2.792599999999999943e-02 1.964399999999999827e-02 2.451400000000000107e-02 6.114499999999999796e-02 3.161400000000000321e-02 3.889000000000000096e-02 3.248499999999999999e-02
4.613300000000000040e-02 3.644000000000000104e-03 3.960999999999999938e-02 3.627500000000000169e-02 3.602799999999999753e-02 1.150900000000000013e-02 7.145899999999999475e-02 1.128999999999999969e-02 9.561100000000000154e-02 2.447300000000000170e-02 2.679300000000000084e-02 4.369100000000000067e-02 2.948999999999999885e-02 1.844799999999999912e-02 3.999999999999999819e-06 3.380999999999999978e-02 9.269800000000000262e-02 1.242799999999999981e-02 2.647899999999999907e-02 2.019800000000000068e-02 1.062399999999999976e-02 3.911300000000000193e-02 2.441199999999999967e-02 4.308700000000000030e-02 9.294000000000000178e-03 2.510099999999999831e-02 1.133699999999999986e-02 1.146159999999999957e-01 3.459199999999999775e-02 1.081700000000000023e-02 1.750099999999999920e-02 1.747100000000000042e-02 3.999999999999999819e-06 8.068000000000000518e-03 1.073700000000000002e-02 3.376599999999999741e-02 6.355999999999999671e-03 1.869499999999999981e-02 1.757600000000000134e-02 2.518700000000000105e-02 3.999999999999999819e-06 7.517000000000000244e-03 3.999999999999999819e-06 1.979099999999999956e-02 1.965700000000000086e-02 3.094999999999999835e-02 2.453500000000000125e-02 3.246700000000000280e-02 1.493300000000000009e-02 3.491000000000000179e-03 2.611700000000000133e-02 3.999999999999999819e-06 3.999999999999999819e-06 4.176000000000000024e-03 1.691900000000000001e-02 2.336799999999999988e-02 8.410700000000000121e-02 4.113300000000000289e-02 1.166500000000000002e-02 5.970299999999999913e-02 1.975000000000000019e-02 2.573200000000000140e-02 1.452299999999999945e-02 1.898400000000000087e-02 5.999999999999999474e-04 3.827099999999999946e-02 1.908100000000000074e-02 8.000999999999999432e-03 2.381000000000000130e-02 2.901700000000000113e-02 6.189599999999999963e-02 1.687900000000000164e-02 4.917099999999999943e-02 2.027500000000000135e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 2.105999999999999799e-03 2.759500000000000147e-02 6.862200000000000244e-02 3.229100000000000026e-02 3.999999999999999819e-06 1.143199999999999945e-02 3.999999999999999819e-06 1.712199999999999833e-02 1.066980000000000012e-01 3.999999999999999819e-06 3.698699999999999904e-02 6.699000000000000093e-03 2.037100000000000022e-02 3.999999999999999819e-06 7.159999999999999698e-03 3.723499999999999727e-02 2.184799999999999937e-02 4.618999999999999842e-03 3.175200000000000244e-02 1.395099999999999986e-02 3.886499999999999677e-02 2.698899999999999910e-02 1.423800000000000066e-02
